,id,address,lien,costs,fees
0,1,"3394 Gunzen Drive Cortland, NY 13045",156766.78,,
1,2,"1351 Hauck Hill Road.   Cortland, NY 13045",44186.73,,
2,3,"7029 RICHMOND HILL ROAD DE RUYTER, NY 13052",139793.86,,
3,4,"44 HAMLIN STREET CORTLAND, NY 13045",100821.32,1924.61,6925
4,5,"747 Rte 222, Cortland, NY 13045",151360.34,,5650
5,6,"42 EVERGREEN ST CORTLAND, NY 13045",124147.49,,5225
6,7,"3438 South Hill Road, McGraw, NY.13101",87405.12,,
7,8,"41WILLET, NY 13863",138078.5,2195,5650
8,9,"2297 Blodgett Mills Road Blodgett Mills, NY 13738",41160.04,1780,3475
10,11,"1750 Little York Xing, Homer, NY 13077",199927.97,,5650
12,13,"13 Cuylet, NY 13158",26516.23,,
13,14,"4439 North Tower Road East Freetown a/k/a Solon, NY 13040",59394.61,,5225
14,15,"12 Venette Street Cortland, NY 13045",94225,3075.46,5225
16,17,"58 Madison Street   Cortland, NY 13045",59097.28,2416.4,5650
17,18,"1/2 NORTH FULTON STREET HOMER, NY 13077",111161,,1800
18,19,"10 Benton Place Sodus, NY 14551",174168.4,2331.88,
19,20,"15 Cherry Street   Homer, NY 13077",90721.8,2310,5225
20,21,"203 CENTRAL AVENUE . CORTLAND, NY 13045",73899,4372.33,5650
21,22,"2779 MARICLE RD.,CINCINNATUS, NY 13040",250932.16,2643.01,5960
22,23,"41Scott, NY 13077",51419.8,445.6,
23,24,"3651 Levydale Park Cortland, New York 13045",121339.82,2295,4950
24,25,"68 Cortland'Street   Marathon, NY 13803",109406.89,2187,2900
25,26,"17 Front Street,.Cortland, NY. 13045",184517.07,2080,4950
26,27,"4077 West Road .Cortland, NY 13045",626439.52,2134.8,4173.5
27,28,"1904 Preble Road   Preble, NY 13141",97097.91,4136.87,3760
29,30,"152 Groton Avenue,Cortland, NY 13045",539317.89,5741.49,4840.5
31,32,"1965. East Freetown Texas Valley Road   Freetown a/k/a Marathon, NY.13803",90547.37,7936.18,3475
32,33,"5319 Meadowview Lane   Homer, New York 13077",195123.46,2115,4950
33,34,"1893 Preble Road    Preble, (Town of Preble) NY 13141",96713.95,2485.5,
34,35,"6449W Scott Rd Homer, NY 13077",354095.94,2348,5650
36,37,"5 Woodland Avenue Cortland, NY 13045",50728.05,5814.3,4500
38,39,"5252 East Homer Crossinge Cortland, NY 13045",91675,2770,5225
39,40,"3897HIGHLAND ROAD CORTLAND, NY 13045",135048.12,1900,
40,41,"7 Hicks Hill Road.  McGraw, NY 13101",27325.19,2176,6894
41,42,"3 East Main Street   Cortland, New York 13045",88321.21,1880,10307.5
42,43,"2798 Cincinnatus Road Cincinnatus, NY 13040",42585.79,,
43,44,"2 Woodland Avenue Cortland, NY 13045",79836.71,2390,5225
45,46,"281STACIE MYDLENSKI Preble, NY 13141",116766.18,,
46,47,"11  McGraw a/k/a Cortlandville, NY 13101",49818.2,,
47,48,"9 East Main Street   McGraw, NY 13101",143995.74,3789,2900
48,49,"4428 Raphael Drive Cortland, NY 13045",812690.03,,
50,51,"1931 Carter Slocum Road Marathon, NY 13803",70381.1,,
51,52,"8 WILLIAM STREET CORTLAND, NY 13045",210642.71,,
52,53,"2879 Eastview .Terrace . Cincinnatus, NY 13040",200458.62,,
54,55,"2702 East River Road Cortland, NY 13045",134169.22,,5650
55,56,"90  Cortland, New York 13048",258078.36,2063.75,4950
56,57,"202 Central Avenue   . Cortland, New York 13045",99012.18,2610,4950
57,58,"186.Madison Street OF HOUSING AND URBAN DEVELOPMENT: CORTLAND  Cortland, NY 13045",39445.99,,565000
58,59,"221  Marathon, NY 13803",108947.98,1987.8,3562.5
59,60,"6414STEGER ROAD PREBLE, NY 13141",131249.14,3959.02,
61,62,"2118 GEE HILLROAD DRYDEN, NY 13053",211108.94,,
62,63,"90  Cortland, New York 13048",258078.36,,4950
63,64,"3619 McGraw-Marathon Road McGraw, NY 13101",98274.11,2740,5225
64,65,"1380 Daisy Hollow Road Dryden, NY 13053",30242.7,5402.32,5225
65,66,"5 EVERGREEN ST.,</td></tr><tr><td>-against-</td><td>CORTLAND, NY 13045",116862.19,,
66,67,"7534 EAST KEENEY RD CUYLER, NY 13158",13352.41,,
67,68,"26 West Center Street .OF GARY L. STROUT, SR.McGraw, NY 13101",67032.33,,
68,69,"30 Front Street   Marathon, NY 13803",126169.21,3198.75,5650
69,70,"4898 Health Camp Road Cortland, NY 13045",91100.61,,
