date_of_foreclosure,address,lien,costs,fees,
1/9/2023,"1965 East Freetown Texas Valley Road   Freetown a/k/a Marathon, NY.13803",90547.37,7936.18,3475,
2/9/2023,"152 Groton Avenue,Cortland, NY 13045",539317.89,5741.49,4840.5,
3/6/2023,"3651 Levydale Park Cortland, New York 13045",121339.82,2295,4950,
3/6/2023,"17 Front Street,.Cortland, NY. 13045",184517.07,2080,4950,
3/6/2023,"4077 West Road .Cortland, NY 13045",626439.52,2134.8,4173.5,
3/6/2023,"1904 Preble Road   Preble, NY 13141",97097.91,4136.87,3760,
4/25/2023,"68 Cortland'Street   Marathon, NY 13803",109406.89,2187,2900,
5/4/2023,"2779 MARICLE RD.,CINCINNATUS, NY 13040",250932.16,2643.01,5960,
5/4/2023,"6271 State Route 41, Scott, NY 13077",51419.8,445.6,,
7/13/2023,"1750 Little York Xing, Homer, NY 13077",199927.97,,5650,
7/13/2023,"4539 State Route 13 Cuylet, NY 13158",26516.23,,,*vacant
7/23/2023,"3907 Hobart Hill Rd, Cortlandville, NY",174168.4,2331.88,3416.25,
7/25/2023,"4439 North Tower Road East Freetown a/k/a Solon, NY 13040",59394.61,,5225,
7/25/2023,"12 Venette Street Cortland, NY 13045",94225,3075.46,5225,
7/25/2023,"58 Madison Street   Cortland, NY 13045",59097.28,2416.4,5650,
7/26/2023,"6 & 6 1/2 NORTH FULTON STREET HOMER, NY 13077",111161,,1800,
8/28/2023,"15 Cherry Street   Homer, NY 13077",90721.8,2310,5225,
8/28/2023,"203 CENTRAL AVENUE . CORTLAND, NY 13045",73899,4372.33,5650,
8/29/2023,"2297 Blodgett Mills Road Blodgett Mills, NY 13738",41160.04,1780,3475,
9/8/2023,"1351 Hauck Hill Road.   Cortland, NY 13045",44186.73,,,
9/27/2023,"41 WILLET, NY 13863",138078.5,2195,5650,
9/28/2023,"44 HAMLIN STREET CORTLAND, NY 13045",100821.32,1924.61,6925,
10/10/2023,"7029 RICHMOND HILL ROAD DE RUYTER, NY 13052",139793.86,,,
10/10/2023,"747 Rte 222, Cortland, NY 13045",151360.34,,5650,
10/10/2023,"42 EVERGREEN ST CORTLAND, NY 13045",124147.49,,5225,
10/10/2023,"3438 South Hill Road, McGraw, NY.13101",87405.12,,,
12/4/2023,"3394 Gunzen Drive Cortland, NY 13045",156766.78,,,
1/9/2024,"2702 East River Road Cortland, NY 13045",134169.22,,5650,
1/9/2024,"186 Madison Street Cortland, NY 13045",39445.99,,5650,
1/12/2024,"2118 GEE HILLROAD DRYDEN, NY 13053",211108.94,,,
1/12/2024,"270 Route 90  Cortland, New York 13048",258078.36,,4950,
1/24/2024,"270 Route 90, Cortland, New York 13048",258078.36,2063.75,4950,
1/24/2024,"202 Central Avenue   . Cortland, New York 13045",99012.18,2610,4950,
1/26/2024,"6414 STEGER ROAD PREBLE, NY 13141",131249.14,3959.02,,
2/13/2024,"3801 Route 221  Marathon, NY 13803",108947.98,1987.8,3562.5,
2/15/2024,"3619 McGraw-Marathon Road McGraw, NY 13101",98274.11,2740,5225,
3/28/2024,"2879 Eastview Terrace, Cincinnatus, NY 13040",200458.62,,,
5/20/2024,"9 East Main Street   McGraw, NY 13101",143995.74,3789,2900,
5/20/2024,"1931 Carter Slocum Road Marathon, NY 13803",70381.1,,,
5/20/2024,"8 WILLIAM STREET CORTLAND, NY 13045",210642.71,,,
5/21/2024,"0 Haights Gulf Road, Truxton NY",76459.22,2327.2,5650,
6/24/2024,"3522 Route 11  McGraw a/k/a Cortlandville, NY 13101",49818.2,,,* vacant
6/24/2024,"4428 Raphael Drive Cortland, NY 13045",812690.03,,,
7/23/2024,"5 Woodland Avenue Cortland, NY 13045",50728.05,5814.3,4500,
8/8/2024,"7 Hicks Hill Road.  McGraw, NY 13101",27325.19,2176,6894,
8/23/2024,"5252 East Homer Crossinge Cortland, NY 13045",91675,2770,5225,
8/23/2024,"3897HIGHLAND ROAD CORTLAND, NY 13045",135048.12,1900,,
8/23/2024,"3 East Main Street   Cortland, New York 13045",88321.21,1880,10307.5,
8/23/2024,"2798 Cincinnatus Road Cincinnatus, NY 13040",42585.79,,,
8/23/2024,"6343 Route 281 Preble, NY 13141",116766.18,,,
8/28/2024,"2 Woodland Avenue Cortland, NY 13045",79836.71,2390,5225,
10/8/2024,"2595 State Route 215 Cortland, NY 13045",117746.31,3410,2900,* not picked up by OCR
10/15/2024,"6449W Scott Rd Homer, NY 13077",354095.94,2348,5650,
11/26/2024,"5319 Meadowview Lane   Homer, New York 13077",195123.46,2115,4950,
12/10/2024,"1893 Preble Road    Preble, (Town of Preble) NY 13141",96713.95,2485.5,,
1/13/2025,"1380 Daisy Hollow Road Dryden, NY 13053",30242.7,5402.32,5225,
1/15/2025,"5 EVERGREEN ST.,</td></tr><tr><td>-against-</td><td>CORTLAND, NY 13045",116862.19,,,
1/15/2025,"7534 EAST KEENEY RD CUYLER, NY 13158",13352.41,,,
2/26/2025,"26 West Center Street .OF GARY L. STROUT, SR.McGraw, NY 13101",67032.33,,,
2/26/2025,"30 Front Street   Marathon, NY 13803",126169.21,3198.75,5650,
2/26/2025,"4898 Health Camp Road Cortland, NY 13045",91100.61,,,
4/3/2025,"4778 Maybury Road, Town of Solon, NY 13101",41491.41,,,
4/3/2025,"17 Bellrose Avenue.  .Cortland, NY 13803",94420.71,2699.71,5650,
4/7/2025,"4 Kent Drive,  Cortland, New York 13045",89171,,3400,
4/7/2025,"2947 US Route 11 MCGRAW, NY 13101",82481.28,1951.1,5470,
5/20/2025,"5112 Telephone Road Cincinnatus, (Town of Taylor) NY 13040",131430.48,2475,5650,
5/20/2025,"26 Hubbard Street STATE OF NEW YORK, UNITED STATES Cortland, NY 13045",54033.59,,,* 22 Hubbard Street also appears in doc
5/22/2025,"601 Sherman Road Cortland, NY 13045",146602.17,,,
7/7/2025,"6414 STEGER ROAD PREBLE, NY 13141",131249.14,3959.02,3500,
8/6/2025,Raphael Dr. Cortlandville NY,93303.47,1930.28,5270,
8/20/2025,"1961 Maxfield Road Cortland, NY 13045",39825.49,209560,,
8/20/2025,"32 Squires Street, City of Cortland, County of Cortland, State of New York 13045",108868.06,,5650,
8/20/2025,"2861 Cincinnatus Road Cincinnatus, NY 13040",83762.08,,,
8/20/2025,"3527 Kellogg Road Cortland, NY 13045",65155.92,,,
8/20/2025,"2 Mill Street   Marathon, NY 13803",72241.07,,2900,
8/20/2025,"7679 Highbridge Road Dc Ruyter, NY 13052",98220.47,,,
8/20/2025,"4322 MCCLOY.ROAD CORTLAND,NY 13045",67540.6,,,
9/12/2025,"55 Hubbard Street   Cortland, NY 13045",72638.42,2637.06,5650,
9/12/2025,"170 Main Street   Cortland, NY 13045",82550.02,1460,5225,
10/14/2025,"15 Water St, Cortland, NJ 13045",50755.74,,,
11/7/2025,"8 East Center Street   McGraw, NY 13101",68649.49,3205.18,5650,
11/7/2025,"1465 McGraw Marathon Road, Marathon NY 13803",167530.4,,6350,
11/7/2025,"3024 Route 215 Cortland, New York 13045",174971.62,,,
12/8/2025,"10 LEON AVE.  CORTLAND, NY 13045",121057.77,,,
12/8/2025,"4914 Creal Road   Homer, NY 13077",94940.93,2753.53,5225,
