,id,address,lien,costs,allowance,fees
0,1,"3394 Gunzen Drive Cortland, NY 13045",156766.78,,,
1,2,"1351 Hauck Hill Road.   Cortland, NY 13045",44186.73,3.0,,1.0
2,3,"7029 RICHMOND HILL ROAD DE RUYTER, NY 13052",139793.86,,,3.0
3,4,"44 HAMLIN STREET CORTLAND, NY 13045",,,,
4,5,"222, Cortland, NY 13045",151360.34,,,5650.0
5,6,"42 EVERGREEN ST CORTLAND, NY 13045",124147.49,,,5225.0
6,7,"3438 South Hill Road, McGraw, NY.13101",87405.12,3.0,,
7,8,"41WILLET, NY 13863",138078.5,2195.0,,5650.0
8,9,"2297 Blodgett Mills Road Blodgett Mills, NY 13738",41160.04,1780.0,,3475.0
9,10,"2297 Blodgett Mills Road Blodgett Mills, NY 13738",,,,
10,11,"1750 Little York Xing, Homer, NY 13077",199927.97,,0.0,5650.0
11,12,23-00643,,,,
12,13,"13 Cuylet, NY 13158",26516.23,37.0,0.0,5.0
13,14,"4439 North Tower Road East Freetown a/k/a Solon, NY 13040",59394.61,162.0,0.0,5225.0
14,15,"12 Venette Street Cortland, NY 13045",,308.0,0.0,5225.0
15,16,,,,,
16,17,"58 Madison Street   Cortland, NY 13045",,,,
17,18,"2 NORTH FULTON STREET HOMER, NY 13077",,,0.0,
18,19,"10 Benton Place Sodus, NY 14551",174168.4,2331.88,0.0,
19,20,"15 Cherry Street   Homer, NY 13077",90721.8,2310.0,3.0,5225.0
20,21,"203 CENTRAL AVENUE . CORTLAND, NY 13045",,,,
21,22,"2779 MARICLE RD.,CINCINNATUS, NY 13040",250932.16,2643.01,0.0,5960.0
22,23,"41Scott, NY 13077",51419.8,445.6,0.0,5.0
23,24,"3651 Levydale Park Cortland, New York 13045",121339.82,2295.0,,4950.0
24,25,"68 Cortland'Street   Marathon, NY 13803",109406.89,2187.0,,2900.0
25,26,"17 Front Street,.Cortland, NY. 13045",184517.07,2080.0,,4950.0
26,27,"4077 West Road .Cortland, NY 13045",,,,
27,28,"1904 Preble Road   Preble, NY 13141",97097.91,4136.87,,3760.0
28,29,"152 Groton Avenue,Cortland, NY 13045",,,,
29,30,"152 Groton Avenue,Cortland, NY 13045",539317.89,,,
30,31,,,,,
31,32,"1965. East Freetown Texas Valley Road   Freetown a/k/a Marathon, NY.13803",90547.37,7936.18,0.0,3475.0
32,33,"5319 Meadowview Lane   Homer, New York 13077",195123.46,2115.0,,4950.0
33,34,"1893 Preble Road    Preble, (Town of Preble) NY 13141",96713.95,2485.5,,6.0
34,35,"6449W Scott Rd Homer, NY 13077",,,,0.5
35,36,,117746.31,3410.0,0.0,290.0
36,37,"5 Woodland Avenue Cortland, NY 13045",50728.05,5814.3,,4500.0
37,38,"5 Woodland Ave, Cortland, NY 13045",,,,
38,39,"5252 East Homer Crossinge Cortland, NY 13045",91675.0,2770.0,300.0,5225.0
39,40,"3897HIGHLAND ROAD CORTLAND, NY 13045",135048.12,1900.0,,
40,41,"7 Hicks Hill Road.  McGraw, NY 13101",27325.19,2176.0,,6894.0
41,42,"3 East Main Street   Cortland, New York 13045",88321.21,1880.0,,10307.5
42,43,"2798 Cincinnatus Road Cincinnatus, NY 13040",42585.79,,,
43,44,"2 Woodland Avenue Cortland, NY 13045",79836.71,2390.0,3.0,5225.0
44,45,"2 Woodland Avenue Cortland, NY 13045",79836.71,2390.0,30.0,5225.0
45,46,"281STACIE MYDLENSKI Preble, NY 13141",116766.18,,,
46,47,"11  McGraw a/k/a Cortlandville, NY 13101",49818.2,3.0,,56.0
47,48,"9 East Main Street   McGraw, NY 13101",143995.74,3789.0,,2900.0
48,49,"4428 Raphael Drive Cortland, NY 13045",812690.03,,0.0,6.0
49,50,,,2327.2,,5.0
50,51,"1931 Carter Slocum Road Marathon, NY 13803",70381.1,4.0,,3.0
51,52,"8 WILLIAM STREET CORTLAND, NY 13045",210642.71,0.0,,3.0
52,53,"2879 Eastview .Terrace . Cincinnatus, NY 13040",200458.62,,,
53,54,"2879 Eastview Terrace   Cincinnatus, NY 13040",,,,
54,55,"2702 East River Road Cortland, NY 13045",134169.22,,0.0,5650.0
55,56,"90  Cortland, New York 13048",258078.36,2063.75,,4950.0
56,57,"202 Central Avenue   . Cortland, New York 13045",99012.18,2610.0,,4950.0
57,58,"186.Madison Street OF HOUSING AND URBAN DEVELOPMENT: CORTLAND  Cortland, NY 13045",39445.99,,0.0,565000.0
58,59,"221  Marathon, NY 13803",108947.98,1987.8,,3562.5
59,60,"6414STEGER ROAD PREBLE, NY 13141",131249.14,3959.02,,
60,61,18-14822,,,,
61,62,"2118 GEE HILLROAD DRYDEN, NY 13053",211108.94,,,
62,63,"90  Cortland, New York 13048",258078.36,,,4950.0
63,64,"3619 McGraw-Marathon Road McGraw, NY 13101",98274.11,2740.0,,5225.0
64,65,"1380 Daisy Hollow Road Dryden, NY 13053",30242.7,5402.32,,5225.0
65,66,"5 EVERGREEN ST.,</td></tr><tr><td>-against-</td><td>CORTLAND, NY 13045",116862.19,,0.0,
66,67,"7534 EAST KEENEY RD CUYLER, NY 13158",13352.41,3.2,,7.0
67,68,"26 West Center Street .OF GARY L. STROUT, SR.McGraw, NY 13101",67032.33,,,
68,69,"30 Front Street   Marathon, NY 13803",126169.21,3198.75,,5650.0
