SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,January-20-2026,Vacant Land,74 Michigan Hill Rd,Richford,NY,13835,250000,,,Harford,,4340318,,,,,Sold,,,https://www.redfin.com/NY/Richford/74-Michigan-Hill-Rd-13835/home/125268456,CNYIS,S1647392,N,Y,42.4102934,-76.1922746
PAST SALE,January-16-2026,Vacant Land,0 Snell Hill Rd,Cortland,NY,13045,29900,,,Cortlandville,,311454,,,,,Sold,,,https://www.redfin.com/NY/Cortland/Snell-Hill-Rd-13045/home/125310459,CNYIS,S1637743,N,Y,42.574622,-76.090695
PAST SALE,January-16-2026,Single Family Residential,684 Mclean Rd,Cortland,NY,13045,215000,4,1.0,Cortlandville,1698,39850,1950,,127,,Sold,,,https://www.redfin.com/NY/Cortland/684-McLean-Rd-13045/home/125415667,CNYIS,S1647658,N,Y,42.579234,-76.229444
PAST SALE,January-14-2026,Single Family Residential,464 Foster Moore Rd,Cortland,NY,13045,201400,3,2.0,Homer,2400,43560,1951,,84,,Sold,,,https://www.redfin.com/NY/Cortland/464-Foster-Moore-Rd-13045/home/125543492,CNYIS,S1612134,N,Y,42.6553288,-76.2433513
PAST SALE,January-12-2026,Vacant Land,2391 Vormwald Rd,Tully,NY,13159,35000,,,Preble,,108900,,,,,Sold,,,https://www.redfin.com/NY/Tully/2391-Vormwald-Rd-13159/home/171028121,CNYIS,S1640829,N,Y,42.75438,-76.113865
PAST SALE,January-9-2026,Mobile/Manufactured Home,652 Wood Rd,Marathon,NY,13803,169900,3,2.0,Lapeer,1352,43560,1997,,126,,Sold,,,https://www.redfin.com/NY/Marathon/652-Wood-Rd-13803/home/125424395,CNYIS,S1642143,N,Y,42.4395501,-76.0883406
PAST SALE,January-9-2026,Single Family Residential,437 Nye Rd,Cortland,NY,13045,358000,4,3.0,Virgil,1874,252648,2008,,191,,Sold,,,https://www.redfin.com/NY/Cortland/437-Nye-Rd-13045/home/125273166,CNYIS,S1607968,N,Y,42.5470319,-76.2468829
PAST SALE,January-8-2026,Single Family Residential,15 Broadway Ave,Cortland,NY,13045,150000,3,1.5,Lands/Teresa M Roberts,1170,5284,1920,,128,,Sold,,,https://www.redfin.com/NY/Cortland/15-Broadway-Ave-13045/home/125439805,CNYIS,S1616596,N,Y,42.5919626,-76.1927754
PAST SALE,January-8-2026,Single Family Residential,3752 Lyncort Dr,Cortland,NY,13045,259900,5,1.5,Lyncort Tr,1456,13068,1966,,179,,Sold,,,https://www.redfin.com/NY/Cortland/3752-Lyncourt-Dr-13045/home/125324013,CNYIS,S1644503,N,Y,42.5883907,-76.2341824
