SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,May-10-2023,Condo/Co-op,2177 Clute Rd. Rd Unit 401-IV,Cortland,NY,13045,3000,1,1.0,Hope Lake Hotel Condo,1115,506602,2009,,3,498,Sold,,,https://www.redfin.com/NY/Cortland/2177-Clute-Rd-13045/unit-401-IV/home/183063273,CNYIS,S1446708,N,Y,42.5124482,-76.1476892
PAST SALE,May-10-2023,Condo/Co-op,2177 Clute Rd. Rd Unit 307-IV,Cortland,NY,13045,3000,1,1.0,Hope Lake Hotel Condo,689,506602,2009,,4,430,Sold,,,https://www.redfin.com/NY/Cortland/2177-Clute-Rd-13045/unit-307-IV/home/183063282,CNYIS,S1446668,N,Y,42.5124482,-76.1476892
PAST SALE,June-28-2023,Single Family Residential,2177 Clute Road Rd Unit A-ll,Cortland,NY,13045,3500,1,1.0,Cortland,425,,2009,,8,275,Sold,,,https://www.redfin.com/NY/Cortland/2177-Clute-Rd-13045/unit-A-ll/home/188868062,IBRMLS,IB408580,N,Y,42.5123809,-76.1474954
PAST SALE,,Vacant Land,Starr Rd,Cortland,NY,13045,5000,,,,,90605,,,,,,,,https://www.redfin.com/NY/Cortland/Starr-Rd-13045/home/125358993,,,N,Y,42.581758,-76.191394
PAST SALE,,Vacant Land,Church St,Cortland,NY,13045,7000,,,,,217800,,,,,,,,https://www.redfin.com/NY/Cortland/Church-St-13045/home/125416431,,,N,Y,42.591718,-76.130507
PAST SALE,,Vacant Land,I-81,Cortland,NY,13045,7000,,,,,535788,,,,,,,,https://www.redfin.com/NY/Cortland/I-81-13045/home/125321700,,,N,Y,42.573325,-76.118752
PAST SALE,,Vacant Land,2751 State Route 26,Cincinnatus,NY,13040,7250,,,,,208652,,,,,,,,https://www.redfin.com/NY/Cincinnatus/2751-State-Route-26-13040/home/125353843,,,N,Y,42.5395619,-75.905603
PAST SALE,,Vacant Land,Cheningo Solon Pond Rd,Cincinnatus,NY,13040,7500,,,,,222592,,,,,,,,https://www.redfin.com/NY/Cincinnatus/Cheningo-Solon-Pond-Rd-13040/home/125526778,,,N,Y,42.620104,-75.927198
PAST SALE,July-12-2024,Condo/Co-op,2177 Clute Road #519 I-e-d,Cortland,NY,13045,8000,3,3.0,Cortland,1277,,2009,,6,824,Sold,,,https://www.redfin.com/NY/Cortland/2177-Clute-Rd-13045/home/138356559,CNYIS,S1518476,N,Y,42.5124482,-76.1476892
PAST SALE,January-26-2023,Condo/Co-op,2177 Clute Rd Unit 423F,Cortland,NY,13045,8500,1,1.0,Hope Lake Hotel Condo,689,506603,2009,,12,430,Sold,,,https://www.redfin.com/NY/Cortland/2177-Clute-Rd-13045/unit-423F/home/182415604,CNYIS,S1440001,N,Y,42.5123809,-76.1474954
PAST SALE,September-29-2023,Vacant Land,0 Route 215,Cortland,NY,13045,9000,,,Cortlandville,,71438,,,,,Sold,,,https://www.redfin.com/NY/Cortland/Unknown-13045/home/175862203,CNYIS,S1457995,N,Y,42.577799,-76.188602
PAST SALE,,Vacant Land,3484 State Route 215,Cortland,NY,13045,9000,,,,,71438,,,,,,,,https://www.redfin.com/NY/Cortland/3484-State-Route-215-13045/home/125348346,,,N,Y,42.575652,-76.189481
PAST SALE,,Vacant Land,436 State Route 26,Willet,NY,13863,9000,,,,,60984,,,,,,,,https://www.redfin.com/NY/Willet/436-State-Route-26-13863/home/125334801,,,N,Y,42.428236,-75.928298
PAST SALE,October-8-2024,Vacant Land,1229 Muster Rd,Marathon,NY,13803,10000,3,1.0,Town/Lapeer,715,8750,1963,,14,,Sold,,,https://www.redfin.com/NY/Marathon/1229-Muster-Rd-13803/home/125531051,CNYIS,S1551496,N,Y,42.4677364,-76.0614854
PAST SALE,,Vacant Land,Keeney Rd,Truxton,NY,13158,10000,,,,,239580,,,,,,,,https://www.redfin.com/NY/Truxton/Keeney-Rd-13158/home/125582825,,,N,Y,42.7624,-75.952647
PAST SALE,August-30-2023,Vacant Land,0 Walden Pond Ln,Munsons Corners,NY,13045,11000,,,Cortlandville,,59453,,,,,Sold,,,https://www.redfin.com/NY/Munsons-Corners/Walden-Pond-Ln-13045/home/188204255,CNYIS,S1453148,N,Y,42.56660394,-76.21259515
PAST SALE,,Vacant Land,United States Route 11,Cortland,NY,13045,11000,,,,,178596,,,,,,,,https://www.redfin.com/NY/Cortland/United-States-Route-11-13045/home/125310435,,,N,Y,42.568071,-76.119341
PAST SALE,,Vacant Land,956 Walden Pond Ln,Cortland,NY,13045,11000,,,,,59453,,,,,,,,https://www.redfin.com/NY/Cortland/956-Walden-Pond-Ln-13045/home/167218716,,,N,Y,42.5661891,-76.211596
PAST SALE,,Vacant Land,Long Rd,Homer,NY,13077,11250,,,,,372002,,,,,,,,https://www.redfin.com/NY/Homer/Long-Rd-13077/home/125420812,,,N,Y,42.727712,-76.230773
PAST SALE,,Vacant Land,5247 Maybury Rd,Mc Graw,NY,13101,12000,,,,,174240,,,,,,,,https://www.redfin.com/NY/Mc-Graw/5247-Maybury-Rd-13101/home/125507355,,,N,Y,42.6606299,-76.0523596
PAST SALE,March-29-2024,Vacant Land,1256 Route 221,Marathon,NY,13803,12000,,,Marathon,,11900,,,,,Sold,,,https://www.redfin.com/NY/Marathon/1256-State-Route-221-13803/home/125294209,IBRMLS,IB408499,N,Y,42.4344528,-76.1920679
PAST SALE,December-1-2023,Vacant Land,00 Clute Rd,Cortlandville,NY,13045,12500,,,Cortlandville,,85378,,,,,Sold,,,https://www.redfin.com/NY/Cortlandville/Clute-Rd-Unknown/home/179031621,CNYIS,S1463203,N,Y,42.566502,-76.127146
PAST SALE,April-5-2023,Vacant Land,4868 Sweeney Rd,Cortland,NY,13045,14500,,,Homer,,222592,,,,,Sold,,,https://www.redfin.com/NY/Cortland/4868-Sweeney-Rd-13045/home/125410806,CNYIS,S1172686,N,Y,42.6337824,-76.2167834
PAST SALE,,Vacant Land,3293 Coventry Ln,Cortland,NY,13045,15000,,,,,20218,,,,,,,,https://www.redfin.com/NY/Cortland/3293-Coventry-Ln-13045/home/125312056,,,N,Y,42.5670779,-76.2169618
PAST SALE,,Vacant Land,Timmerman Hill Rd,Cortland,NY,13045,15750,,,,,301435,,,,,,,,https://www.redfin.com/NY/Cortland/Timmerman-Hill-Rd-13045/home/125509955,,,N,Y,42.504016,-76.19213
