SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,December-9-2025,Single Family Residential,90 Windsor Rd,Rye Brook,NY,10573,1050000,3,1.5,Rye Brook,1650,7255,1940,,636,,Sold,,,https://www.redfin.com/NY/Rye-Brook/90-Windsor-Rd-10573/home/20062938,OneKey® MLS as Distributed by MLS Grid,923251,N,Y,41.0173372,-73.6784092
PAST SALE,October-24-2025,Single Family Residential,7319 186th St,Fresh Meadows,NY,11366,1399000,4,3.0,Fresh Meadows,2214,4000,1935,,632,,Sold,,,https://www.redfin.com/NY/Fresh-Meadows/7319-186th-St-11366/home/20818195,OneKey® MLS as Distributed by MLS Grid,909099,N,Y,40.7320495,-73.7842849
PAST SALE,January-11-2026,Single Family Residential,14 Wakefield Rd,Scarsdale,NY,10583,2350000,4,3.5,Scarsdale,2576,10019,1948,,912,,Sold,,,https://www.redfin.com/NY/Scarsdale/14-Wakefield-Rd-10583/home/20057087,OneKey® MLS as Distributed by MLS Grid,926790,N,Y,40.9797422,-73.7732964
PAST SALE,November-21-2025,Single Family Residential,763 Fairmont Ave,North Tonawanda,NY,14120,280000,4,2.0,Holland Land Companys,1328,8400,1978,,211,,Sold,,,https://www.redfin.com/NY/North-Tonawanda/763-Fairmont-Ave-14120/home/72949626,WNYREIS,B1644920,N,Y,43.0559229,-78.8494912
PAST SALE,December-9-2025,Single Family Residential,36 Woodcrest Ave,White Plains,NY,10604,825000,3,3.0,Woodcrest Heights,1815,8276,1976,,455,,Sold,,,https://www.redfin.com/NY/White-Plains/36-Woodcrest-Ave-10604/home/20188310,OneKey® MLS as Distributed by MLS Grid,915472,N,Y,41.0405101,-73.7565729
PAST SALE,November-21-2025,Single Family Residential,121 Riverview,Port Ewen,NY,12466,380000,1,1.5,Kingston,1307,436,1990,,291,635,Sold,,,https://www.redfin.com/NY/Port-Ewen/121-Riverview-12466/home/140276159,OneKey® MLS as Distributed by MLS Grid,913716,N,Y,41.9125845,-73.9735976
PAST SALE,December-9-2025,Single Family Residential,26 Hickman Dr,Hopewell Junction,NY,12533,575000,3,2.5,Hopewell Junction,2042,43560,1992,,282,,Sold,,,https://www.redfin.com/NY/Hopewell-Junction/26-Hickman-Dr-12533/home/92751162,OneKey® MLS as Distributed by MLS Grid,910243,N,Y,41.5774891,-73.834136
PAST SALE,October-31-2025,Single Family Residential,5 Hillside Dr,Batavia,NY,14020,270000,4,2.0,Batavia City,1911,13050,1968,,141,,Sold,,,https://www.redfin.com/NY/Batavia/5-Hillside-Dr-14020/home/79313580,WNYREIS,B1633748,N,Y,43.0004066,-78.1631989
PAST SALE,December-22-2025,Single Family Residential,159 Crown Royal Dr,Buffalo,NY,14221,595000,4,2.5,Amherst,2428,11991,2002,,245,,Sold,,,https://www.redfin.com/NY/Buffalo/159-Crown-Royal-Dr-14221/home/72997636,WNYREIS,B1646744,N,Y,42.9925432,-78.7132583
PAST SALE,October-28-2025,Single Family Residential,6045 Trillium Trl,Ontario,NY,14519,392500,3,2.5,Ontario,1750,17860,1999,,224,,Sold,,,https://www.redfin.com/NY/Ontario/6045-Trillium-Trl-14519/home/79289436,UNYREIS,R1636030,N,Y,43.2187173,-77.3162662
